Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
8faadec1f11788d9d0b959509ee51d13db2eea9d0cf6286dd04de3c73aab3e20,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.145219,51.542858,On or near Spurling Road,E01000013,Barking and Dagenham 013A,Drugs,Offender fined,
5710a1b2fde1dc0210b522c5881990f04456336c93890fa2c5806db3a15fad1c,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.144973,51.544058,On or near Parsloes Avenue,E01000013,Barking and Dagenham 013A,Drugs,Offender given a drugs possession warning,
c91c672f3c4af227330a45c920fc977666b8ea654515ea1586b073d4b4d58ad8,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.150727,51.543449,On or near Sterry Gardens,E01000013,Barking and Dagenham 013A,Drugs,Offender given penalty notice,
9f7b5b95d929f6bc7721db7497c6643a1ecc19cb40b012d624078a546c7ebc3a,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.142809,51.545887,On or near Harris Road,E01000014,Barking and Dagenham 013B,Drugs,Offender given penalty notice,
214543e05deb99182a05994bb5f335f5af63662110f85e8494f0b10a2dc3f5ef,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.14678,51.545068,On or near Fanshawe Crescent,E01000014,Barking and Dagenham 013B,Drugs,Offender given community sentence,
b6b36af6e5ae45f661db8091a8ffb5c64cdda705611470bf708f31c5e2ce9bb1,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.148832,51.536587,On or near Morgan Close,E01000085,Barking and Dagenham 013E,Drugs,Offender fined,
c2e57da406c4b2e44ca2a5d46823e48639c7813f9c5b3535f8c0211620dd6f7d,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.167724,51.537228,On or near Durban Gardens,E01000103,Barking and Dagenham 014A,Drugs,Offender given absolute discharge,
e10bf6ef76a5d0aa46658d6c3f471aa5a363848d9806500e99a3c85787c1d085,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.151606,51.540672,On or near Huntings Road,E01000105,Barking and Dagenham 014C,Drugs,Offender given a drugs possession warning,
941d9662fff1c6bfd56c4008f2eec92f087aa14a18d87a6dedce26d0bc28234b,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.159897,51.539729,On or near Glebe Road,E01000106,Barking and Dagenham 014D,Drugs,Offender given community sentence,
07d982c0d306be45552ee20b4290675656aa0a3dd326bbef59c95b68464473c1,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.080008,51.540759,On or near Wakering Road,E01000007,Barking and Dagenham 015A,Drugs,Offender given a drugs possession warning,
9b7ec0256f57ec582681459444c18bb7f169ebece061d39931c34709c3b5fee5,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.072818,51.541525,On or near Harts Lane,E01000008,Barking and Dagenham 015B,Drugs,Offender given a drugs possession warning,
