Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
9ecc9e1e388e49184303b8ac7af2331ea7bb4f32c1575af356b88adf91b477ff,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.135866,51.587336,On or near Gibbfield Close,E01000027,Barking and Dagenham 001A,Drugs,Local resolution
5012a0bba07578d12b15b8db93394f2763fe5a1e5d3451ca4889d38d653d4b65,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.131173,51.582376,On or near Lake Road,E01000029,Barking and Dagenham 001C,Drugs,Offender given penalty notice
04c67e09a3a7977f4f9ece80d2266db72e661a23a2fa2ba5e1a0b20fdb41a5dd,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.129952,51.582803,On or near Woodrush Way,E01000029,Barking and Dagenham 001C,Drugs,Offender given penalty notice
63edab30f4451e9ce5b703b632c61af8d4815324c21eab56d0f1c491c5e1fada,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.140452,51.581101,On or near Pedestrian Subway,E01000030,Barking and Dagenham 001D,Drugs,Court result unavailable
967a451729aff47e1373b800951f3d256e98a433c956df7a06aeeed88f5a39a9,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.133908,51.573289,On or near Mayfair Avenue,E01000032,Barking and Dagenham 002B,Drugs,Offender given penalty notice
6c7e20ab0275d8d3abb658644232fc574b74026c92d5cc4715a5ee40a72cf575,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.134864,51.571806,On or near Supermarket,E01000032,Barking and Dagenham 002B,Drugs,Local resolution
e997d9e1bef32392dfb46d5c9852db1a8406d5eeaa0d56b16f8199fd806104ed,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.145556,51.567789,On or near Limbourne Avenue,E01000111,Barking and Dagenham 002D,Drugs,Local resolution
3b8d7c0780bbebfc429a556505fab3a1767094959bba0646bb70d022cb83418a,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.145556,51.567789,On or near Limbourne Avenue,E01000111,Barking and Dagenham 002D,Drugs,Local resolution
eb12f7facc01029218a44b10edcbd33758624a4c4c0f5e6c3726c72424f3baee,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.137551,51.56941,On or near Junction Road East,E01000112,Barking and Dagenham 002E,Drugs,Local resolution
34d1ab993c4ff89e6ec54b1c059207de729ec09f89a20a695091faceae2051b6,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.137551,51.56941,On or near Junction Road East,E01000112,Barking and Dagenham 002E,Drugs,Local resolution
4c7e9474b63d597977fcbbba526c44483a673e527295beff4c13a3881a78b255,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.141638,51.570702,On or near Wadeville Avenue,E01000112,Barking and Dagenham 002E,Drugs,Local resolution
1ed12e53586d23cbc2862a8c47d82e98cd08b98b2588695720fd37f3f6b366ec,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.13592,51.571247,On or near St Chad'S Road,E01000113,Barking and Dagenham 002F,Drugs,Investigation complete; no suspect identified
3712f43a097c2743841714ceb4e5a27339877c7f5ab3f01a1746f1103d95ece7,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.132395,51.57087,On or near Supermarket,E01000113,Barking and Dagenham 002F,Drugs,Local resolution
96c16e08d4c115495719a58c46dbb3f4299c668e5dbce1ef9bbf384f78f92b25,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.180615,51.554723,On or near Park/Open Space,E01000039,Barking and Dagenham 003D,Drugs,Local resolution
b6a612aecaf2553e768e1f407907417ac7e6d4ceb9137dde88ca539ba695d6de,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.141985,51.56396,On or near Lamberhurst Road,E01000109,Barking and Dagenham 004D,Drugs,Local resolution
90a63c038cdadff8c3faf367bba3a735a5d3f526032f83294d23264f0c1a61b4,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.141985,51.56396,On or near Lamberhurst Road,E01000109,Barking and Dagenham 004D,Drugs,Local resolution
9b050eedf933efe2d09c1f83a5950e583ecf2e36af152e568d6ac7e92c6fd636,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.162351,51.55409,On or near Central Park Avenue,E01000033,Barking and Dagenham 006A,Drugs,Local resolution
30bca42fa423859f62ca6edf4888429b56f718459694b06a0b5b9555272f7232,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.15412,51.561849,On or near Gosfield Road,E01000061,Barking and Dagenham 006C,Drugs,Local resolution
ea72460897a2e7ca0ca523c2f6b992feac158066813c092c1ce15e594b014ab7,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.150953,51.55465,On or near Dunbar Avenue,E01000062,Barking and Dagenham 006D,Drugs,Status update unavailable
e5095f25c59629a211b687bd825b6e545f8a835016eeb845e8dc9c9c0a3376e5,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.149642,51.551635,On or near Sterry Road,E01000062,Barking and Dagenham 006D,Drugs,Local resolution
ea72460897a2e7ca0ca523c2f6b992feac158066813c092c1ce15e594b014ab7,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.150953,51.55465,On or near Dunbar Avenue,E01000062,Barking and Dagenham 006D,Drugs,Local resolution
830082dcdd4c473bb9ed9724ae313aadd5983fea8d9b3e90ce6a868c742a2f88,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.151576,51.552265,On or near Edgehill Gardens,E01000062,Barking and Dagenham 006D,Drugs,Investigation complete; no suspect identified
d31edd60aa2c1da602f4b8bb36b13e51557acfb3b21f1c08806a0b4ebd5cd5a9,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.155876,51.553823,On or near Pembroke Gardens,E01000062,Barking and Dagenham 006D,Drugs,Local resolution
0f66983b5d4d3e457462ab15c6de2bd09cab2d54ceacd3917da95755b3e1c8ec,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.155422,51.555513,On or near Frizlands Lane,E01000064,Barking and Dagenham 006E,Drugs,Local resolution
a9e812d5d19529f8197de280274955b7e8c40314b1501aa4dff741fd32a0284f,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.159622,51.556155,On or near Rainham Road North,E01000064,Barking and Dagenham 006E,Drugs,Local resolution
d701e35fd4a0b62278b553686e57bcf9482e8977052c6a28adb3fcd174047ef0,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.130513,51.55005,On or near Eliot Road,E01000078,Barking and Dagenham 007B,Drugs,Offender given penalty notice
5376b0c5b41962c347c9054304e8ef324697c5d58892721a38dabe4c8b6b27a8,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.138531,51.55432,On or near Windsor Road,E01000082,Barking and Dagenham 007E,Drugs,Local resolution
28dfa55753c52bd07a9c76f76afa4063caf04623c1e14896a25c0e9e55cc18b9,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.13619,51.553005,On or near Aidan Close,E01000082,Barking and Dagenham 007E,Drugs,Investigation complete; no suspect identified
