Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
a10bd44f4d3c15589ee2136fb65f32366c57e2dbc0c2c7c4bb95f075d9692b4c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.084569,51.487052,On or near Thurlow Street,E01003974,Southwark 015E,Drugs,Offender given a drugs possession warning
16190136745b53a295cd86a47f3b33c2a4ee12162035db7a61ce224664aca192,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.085726,51.482116,On or near Pedestrian Subway,E01003970,Southwark 016C,Drugs,Offender given a drugs possession warning
9ab9ed481f0a8e5b1af7af6f6c2e7c8f2a33c58ad28287d70cf1503e836bcbec,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.08799,51.487549,On or near Aylesbury Road,E01003972,Southwark 016D,Drugs,Status update unavailable
50ccb3a2876f68434249df56f11192aabf7c90b1470a229b4548925a62b5b011,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.087668,51.488713,On or near Merrow Walk,E01003972,Southwark 016D,Drugs,Offender given a drugs possession warning
dd38de40be96c2a6409397d97324d2ffdca6dfb330acc25599c41bbefefd6a0b,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.089483,51.486989,On or near Burton Grove,E01003972,Southwark 016D,Drugs,Offender given a drugs possession warning
f811a296b120778142fce9824cc7291bc0014e82923a3ab1cd73e8093c84825b,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.087668,51.488713,On or near Merrow Walk,E01003972,Southwark 016D,Drugs,Offender given a drugs possession warning
dd38de40be96c2a6409397d97324d2ffdca6dfb330acc25599c41bbefefd6a0b,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.089483,51.486989,On or near Burton Grove,E01003972,Southwark 016D,Drugs,Status update unavailable
1e1339830caf6536758120245ecf054907cb97a2859c655ae4ae9c229c0912f1,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.092714,51.487581,On or near Date Street,E01003973,Southwark 016E,Drugs,Offender given a drugs possession warning
81af17a00df08009ea1bb2f2a048c2494c0de93c817ff6b51f50865b9b2f5e2a,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.091743,51.488401,On or near Blackwood Street,E01003973,Southwark 016E,Drugs,Investigation complete; no suspect identified
a7ab91cc71db6835ead6e1956c70cc4eabd0c82d0b32f0707ca20bb64f6db1e8,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.094358,51.484424,On or near Gateway,E01003969,Southwark 017B,Drugs,Offender given conditional discharge
625a5b4b6918e7ddd9ab02a9bd25f15942bb6432f92be2f93fdf70e0d2e89881,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.093572,51.482541,On or near Albany Mews,E01003969,Southwark 017B,Drugs,Offender given a drugs possession warning
a333d9664667b4ce0625b5d9f0dacdc0716b2e28ff41ff4ad1be2334959317b6,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.094358,51.484424,On or near Gateway,E01003969,Southwark 017B,Drugs,Offender fined
17557466a1e2b9f62debd7b87cd61cc47a1996f5c09db176871b24f5b4564a3a,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.095311,51.484017,On or near Dartford Street,E01003969,Southwark 017B,Drugs,Offender given a caution
53c74e984630ac74334396b26fec5889ef0c830f8a815f7dad6e40506b7c8107,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.106938,51.479736,On or near Camberwell New Road,E01003993,Southwark 017D,Drugs,Investigation complete; no suspect identified
f4a2568f4971667f20375ca52cad503a139a477de7956d3ba9133a84ad73b581,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.05483,51.479809,On or near Patterdale Road,E01003988,Southwark 018B,Drugs,Investigation complete; no suspect identified
05feae1ef59c441bcd41bc95c457147a8f6b029ad686441327e9cd3599a6bd92,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.05483,51.479809,On or near Patterdale Road,E01003988,Southwark 018B,Drugs,Status update unavailable
86da669f187bd073cc9f5a877a3cf3a60429ca69175190d1da6774a94d0d045d,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.05483,51.479809,On or near Patterdale Road,E01003988,Southwark 018B,Drugs,Offender fined
7824d9a668b698e388fd028f7e8f8ebb3be8a979ce997f10382b6b76fc4132e4,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.070042,51.479053,On or near Freda Corbett Close,E01003990,Southwark 018D,Drugs,Offender given penalty notice
cd06eb3b16ee76346e9a330c4b129a87a36a28afa083ae3f4ffaca16bac31a60,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.070835,51.47868,On or near Peckham Hill Street,E01003990,Southwark 018D,Drugs,Offender given community sentence
61f4f76ba6e8f3e0662b371f9a6c298f65ccbab3993a988cb9371588d12cf618,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.079376,51.478667,On or near Potters Close,E01004011,Southwark 019B,Drugs,Status update unavailable
3065d79959f1f5a57131f86db8bd80a441c49ae850b9b229258b8a5ed47e075c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.073558,51.476593,On or near Stopes Street,E01004013,Southwark 019D,Drugs,Offender sent to prison
03890482eaff81fdd63f8bf3d8b8a90d35e69d2ac169e5fb124173d2e66b3496,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.076317,51.48154,On or near Ebley Close,E01004014,Southwark 019E,Drugs,Offender fined
1212bd855dbc25de1cfba0f97fd48248429bd3b102b457307a7409974ae83e48,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.083037,51.477549,On or near Melbury Drive,E01003916,Southwark 020B,Drugs,Offender given a drugs possession warning
a5c06c860b9db24cd7dd6cd36d0258600a1cb4f410b841c64b1fdc1ca2842993,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.087442,51.476902,On or near Elmington Road,E01003917,Southwark 020C,Drugs,Offender given a drugs possession warning
5f3449236f6f17892e45b7d4ac0c7d487e0db9949b3615efe36c736eddff2f30,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.08639,51.476228,On or near Sports/Recreation Area,E01003917,Southwark 020C,Drugs,Offender fined
