Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8cd4512e218e52cae1ec97661e9571712bf22671c04304baa4d7539b1fd268a2,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
c9dfab2d70d0c36fa0056f32ecdad60fbb9ab56cd4d79ad614f15e957609002e,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.073195,51.551478,On or near DUNN STREET,E01001747,Hackney 014B,Investigation complete; no suspect identified
72dd5312390cbe26b37b35e5b2b9cb528f5c185f43c11b9b178f9679403091d6,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.062913,51.608761,On or near GRANGE ROAD,E01001555,Enfield 033C,Investigation complete; no suspect identified
5bd88c1433d15fe425cf29dbe148c774034f03ba19832f6d56a113ab9fe559dc,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.150352,51.510158,On or near Parking Area,E01004761,Westminster 018D,Local resolution
c3dc59966741499e71936c58912b265f2af3017f28270ad4dda7d689c6cc7278,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7810b9f1a7c9e0d02e94743e1a85dfa34ff747ecf4bfadd3470e7aefcaec9ddb,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
30b885facbe2fee1ec39b8760567f41defa510c43099a73084e4dcf243a08601,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ee2a25091ded0d0393c56a616a995424482c4f8effeb3800a7604cc932bc7c21,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.179553,51.494491,On or near STANHOPE MEWS EAST,E01002835,Kensington and Chelsea 016C,Offender given a caution
b649fccd0e6efb4d5c765b1aa005b4eb548da691144b27f74c775932a7c226cb,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.022851,51.524016,On or near BALAAM STREET,E01003499,Newham 030A,Offender given penalty notice
0c3335ec2c435a06e161624a9c620f799587fd100d697b7514d50da37e85009f,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
25b95c901cafbd9141aa8f243e5c8a8c5a51a8363a26c74d7aaf5a612c195288,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2479262e25012bccefc279f5baed28dcd180ff126fc4133f94cc78bd26bc28ce,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.098147,51.503784,On or near UNION STREET,E01003927,Southwark 002A,Investigation complete; no suspect identified
905fd40be43194ab73859b28910d1968cbbe731aa2a9ac2d23ee41eb9dbbe4ce,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.113100,51.553385,On or near HOLLOWAY ROAD,E01033491,Islington 011H,Suspect charged
762c410d05da234b809b6bc6fd4a307d4f16f6f5762abbe7c3c9f0d9cf565749,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
70240f4544a57402ef4f976667f73abcda45283553c8ac744c289e67bd15afe8,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.084057,51.434545,On or near WESTBROOKE ROAD,E01000425,Bexley 025D,Investigation complete; no suspect identified
fdec80ee4ba2a25cae8e2c4eef257edf46e911c8db3fe0dff4fd88bc370ab328,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a872aec32890f808641ba3fb819363b2301f34683362abaf4840b9eca0fd069f,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.025806,51.546752,On or near Shopping Area,E01003556,Newham 008A,Investigation complete; no suspect identified
475b39b0fccaa335561f546c4ae72b8ede3ab22a6e5fc47e1c68fe1c66b10b45,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
